lga_code,lga_name,state_code
6,Aba South,1
62,Arochukwu,1
730,Umuahia South,1
103,Bende,1
5,Aba North,1
722,Ugwunagbo,1
575,Ohafia,1
726,Ukwa East,1
727,Ukwa West,1
364,Isiala Ngwa North,1
339,Ikwuano,1
365,Isiala Ngwa South,1
372,Isuikwuato,1
549,Obi Ngwa,1
625,Osisioma,1
729,Umuahia North,1
731,Umu Nneochi,1
158,Demsa,2
226,Fufure,2
235,Ganye,2
252,Gombi,2
254,Girie,2
242,Gayuk,2
508,Mubi South,2
278,Hong,2
381,Jada,2
466,Larmurde,2
481,Maiha,2
500,Michika,2
473,Madagali,2
507,Mubi North,2
497,Mayo Belwa,2
543,Numan,2
677,Shelleng,2
688,Song,2
708,Toungo,2
765,Yola South,2
764,Yola North,2
3,Abak,3
605,Onna,3
539,Nsit-Atai,3
210,Etim Ekpo,3
540,Nsit-Ibom,3
206,Essien Udim,3
205,Esit Eket,3
292,Ibiono-Ibom,3
719,Udung-Uko,3
351,Ini,3
734,Uruan,3
739,Uyo,3
499,Mbo,3
211,Etinan,3
187,Eket,3
332,Ikono,3
589,Okobo,3
724,Ukanafun,3
168,Eastern Obolo,3
541,Nsit-Ubium,3
335,Ikot Ekpene,3
617,Oruk Anam,3
334,Ikot Abasi,3
514,Mkpat-Enin,3
290,Ibesikpo Asutan,3
552,Obot Akara,3
322,Ika,3
289,Ibeno,3
614,Oron,3
375,Itu,3
735,Urue-Offong/Oruko,3
47,Anambra East,4
533,Njikoka,4
74,Awka North,4
22,Aguata,4
618,Orumba North,4
565,Ogbaru,4
75,Awka South,4
604,Onitsha South,4
297,Idemili North,4
313,Ihiala,4
637,Oyi,4
298,Idemili South,4
164,Dunukofia,4
49,Anaocha,4
76,Ayamelum,4
537,Nnewi North,4
603,Onitsha North,4
48,Anambra West,4
538,Nnewi South,4
619,Orumba South,4
192,Ekwusigo,4
45,Alkaleri,5
97,Bauchi,5
117,Bogoro,5
152,Dass,5
143,Damban,5
151,Darazo,5
233,Gamawa,5
234,Ganjuwa,5
248,Giade,5
385,Jama'are,5
431,Kirfi,5
418,Katagum,5
504,Misau,5
531,Ningi,5
680,Shira,5
697,Tafawa Balewa,5
710,Toro,5
373,Itas/Gadau,5
745,Warji,5
769,Zaki,5
272,Gwer East,7
564,Ogbadibo,7
129,Buruku,7
547,Obi,7
579,Ohimini,7
470,Logo,7
245,Gboko,7
56,Apa,7
58,Ado,7
19,Agatu,7
583,Oju,7
421,Katsina-Ala,7
491,Makurdi,7
273,Gwer West,7
606,Okpokwu,7
736,Ushongo,7
627,Oturkpo,7
440,Konshisha,7
725,Ukum,7
741,Vandeikya,7
455,Kwande,7
705,Tarka,7
259,Guma,7
1,Abadam,8
65,Askira/Uba,8
89,Bama,8
99,Bayo,8
115,Biu,8
139,Chibok,8
145,Damboa,8
159,Dikwa,8
265,Guzamala,8
255,Gubio,8
275,Gwoza,8
277,Hawul,8
388,Jere,8
406,Kala/Balge,8
439,Konduga,8
400,Kaga,8
447,Kukawa,8
458,Kwaya Kusar,8
475,Mafa,8
479,Maiduguri,8
492,Marte,8
506,Mobbar,8
477,Magumeri,8
510,Monguno,8
526,Ngala,8
527,Nganzai,8
675,Shani,8
126,Brass,6
566,Ogbia,6
438,Kolokuma/Opokuma,6
186,Ekeremor,6
525,Nembe,6
664,Sagbama,6
689,Southern Ijaw,6
763,Yenagoa,6
102,Bekwarra,9
104,Biase,9
136,Calabar South,9
118,Boki,9
83,Bakassi,9
546,Obanliku,9
554,Obubra,9
135,Calabar Municipal,9
759,Yala,9
560,Odukpani,9
216,Etung,9
758,Yakuur,9
570,Ogoja,9
29,Akamkpa,9
331,Ikom,9
37,Akpabuyo,9
9,Abi,9
555,Obudu,9
523,Ndokwa East,10
325,Ika South,10
622,Oshimili North,10
718,Udu,10
623,Oshimili South,10
323,Ika North East,10
728,Ukwuani,10
120,Bomadi,10
133,Burutu,10
369,Isoko North,10
738,Uvwie,10
209,Ethiope West,10
53,Aniocha South,10
721,Ughelli South,10
746,Warri North,10
590,Okpe,10
524,Ndokwa West,10
370,Isoko South,10
644,Patani,10
670,Sapele,10
